movieId,imdbId,tmdbId
161155,5794766,401387
160718,5613056,399106
161594,5595168,390734
156025,5480340,387893
151307,5278868,373355
161336,5278462,373348
149532,5248968,372981
150856,5189670,374454
162542,5165344,392572
152025,5161502,372315
156726,5022702,376570
161918,4831420,390989
157667,4824302,353069
162376,4574334,410612
135508,4573800,343921
148238,4537842,364067
161084,4465220,368620
156609,4438848,325133
127098,4368814,321594
131724,4299972,321640
127164,4284010,318044
146309,4272866,315465
132549,4270516,309304
140267,4263482,310131
163056,4262980,315011
127152,4257858,318224
141956,4255110,345468
128620,4226388,320007
160438,4196776,324668
147006,4195278,332534
140247,4178092,328425
148881,4171032,303867
142258,4145178,319076
155820,4139124,342521
127206,4104022,308027
160565,4094724,316727
155611,4076284,326649
141866,4062536,313922
158528,4052882,332567
117895,4046784,294254
117533,4044364,293310
143410,4034452,316042
158783,4016934,290098
127158,3986532,318225
159755,3960412,341012
159690,3949660,308531
136305,3899796,331446
138204,3895884,287689
113938,3889036,285597
151639,3882082,321258
144714,3862750,304372
162672,3859980,402672
148482,3859076,300693
127198,3850214,308639
133295,3845960,314407
150548,3845232,370646
127204,3844362,308024
141668,3832914,323272
140816,3824458,308084
140725,3813310,310133
158238,3799694,290250
143257,3774466,330112
155392,3766394,320588
117511,3762944,303623
149606,3735246,362045
161830,3732950,314420
130580,3720788,275060
139415,3715320,282984
141718,3705412,323373
149590,3703908,344041
148168,3698408,295748
140237,3687398,277546
143385,3682448,296098
132458,3660770,295592
134130,3659388,286217
147426,3646462,265351
114342,3630276,265189
133281,3623726,275601
128512,3622592,286565
132462,3622332,313074
138698,3611354,284362
139116,3605164,259679
118105,3596200,303742
141688,3569230,276907
140523,3567288,298312
156387,3544112,369557
128606,3544082,311291
127194,3534602,308638
160954,3531824,328387
142422,3530002,296100
136816,3525346,309887
114635,3521134,267480
139757,3518012,319067
150401,3511596,325173
113252,3504048,253306
122920,3498820,271110
138208,3488710,285783
114254,3478510,261855
134170,3472226,251516
133771,3464902,254320
128360,3460252,273248
132157,3450650,256961
164979,3447228,410803
112653,3445270,250700
123947,3442006,284276
148372,3430416,333555
127114,3416744,249688
115122,3416742,246741
132074,3399112,250665
131830,3399024,269148
139644,3397884,273481
122924,3385516,246655
107042,3385404,238478
152091,3381008,267193
130450,3332064,266647
133377,3327624,301728
145839,3322364,321741
130628,3318220,244063
140711,3316948,261392
128616,3306858,311301
